代碼,商品,漲幅%,產業地位,細產業,股本,市值
5301,寶得利,2.03,主營餐飲與珠寶銷售經營,珠寶,6.59,5
5364,力麗店,-0.1,以力麗哲園為品牌之飯店經營業者,飯店,6.38,6.3
5701,劍湖山,-2.01,台灣中部地區遊樂園、百貨及飯店業者,主題樂園,14.3,4.9
5703,亞都,-0.36,位於台北中山區之5星級飯店,飯店,7.02,9.8
5704,老爺知,-0.23,老爺酒店集團旗下，位於台東知本之溫泉飯店,飯店,5.89,12.6
5905,南仁湖,9.88,高速公路休息站及海生館、小墾丁渡假村之經營業者,渡假山莊,28.16,24.8
6961,旅天下,-1.48,雄獅集團旗下之旅遊服務提供商,旅行社,2.68,16.1
7708,全家餐飲,0.22,全家旗下，從事連鎖餐飲服務,餐飲,2.55,23.5
7723,築間,-1.78,台灣知名火鍋與燒肉連鎖餐飲企業,餐飲,4.96,13.7
7757,金色三麥,-0.95,主要經營精釀啤酒釀造及餐廳,餐飲,2.41,25.2
8077,洛碁,0.76,以台北市為主的飯店經營業者,飯店,2.19,8.8
2801,彰銀,-0.24,台灣老牌銀行，為銀行界歷史悠久的三商銀之一,銀行,1176.6,2459.1
2812,台中銀,0,中纖為大股東之中小型商業銀行,銀行,602.16,1189.3
2816,旺旺保,0.49,台灣產險業第一家上市公司，後由旺旺集團入主,產險,22.36,68.3
2820,華票,1.48,台灣前三大票券商,票券,134.3,229.6
2832,台產,0,台灣歷史最悠久的中小型產險公司,產險,25.35,135.9
2834,臺企銀,-0.62,台灣六大泛公股銀行之一,銀行,971.81,1569.5
2836,高雄銀,-0.42,高雄市政府為大股東之區域型銀行,銀行,183.99,218
2838,聯邦銀,0.97,三重幫林榮三家族為大股東之民營銀行,銀行,434.06,900.7
2845,遠東銀,0,遠東集團旗下之中小型商業銀行,銀行,486.53,593.6
2849,安泰銀,-1.77,私募基金隆力集團入主的中小型銀行,銀行,195.76,208.2
2850,新產,2.64,新光集團旗下，為台灣前三大產險公司,產險,31.6,429.7
2851,中再保,1.28,長榮集團旗下，為台灣保險市場中唯一的本土再保險公司,再保險,80.04,252.5
2852,第一保,-0.19,台灣排名前十大的產險公司,產險,30.12,78.6
2855,統一證,9.25,為統一集團旗下券商，市佔排名前八大,證券,160.14,699.8
2867,三商壽,-0.13,台灣排名前七大的壽險公司，隸屬三商集團,壽險,589.95,461.3
2880,華南金,-0.15,以銀行為主體公營金控公司，為台灣銀行界歷史悠久的三商銀之一,金控,1391.7,4627.4
2881,富邦金,-1.24,台灣資產規模前二大的金控公司，旗下擁有台灣最大產險公司,金控,1400.74,13377
2882,國泰金,-2,台灣資產規模前二大金控公司，旗下擁有台灣最大壽險公司,金控,1466.92,11500.7
2883,凱基金,-0.44,以投資銀行業務為主之金控，並藉購併跨入證券與商業銀行領域,金控,1697.48,3870.3
2884,玉山金,-0.62,以玉山銀行為主體的金控公司,金控,1617.4,5224.2
2885,元大金,0,以證券為主體金控公司，旗下元大證券為台灣最大券商,金控,1333.11,7532.1
2886,兆豐金,-0.25,具有國營背景的金控公司，旗下銀行為台灣主要企業聯貸銀行,金控,1483.34,5948.2
